@relation 'base6-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-20'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute hillclimb numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
724,12.272417,4,1,0,1,FALSE
755,13.243149,4,1,0,1,FALSE
745,34.597069,4,1,0,1,FALSE
754,12.273817,4,1,0,1,FALSE
809,37.239746,4,1,0,1,FALSE
747,11.737449,4,1,0,1,FALSE
763,13.206106,4,1,0,1,FALSE
754,12.125443,4,1,0,1,FALSE
790,35.867577,4,1,0,1,FALSE
773,35.304291,4,1,0,1,FALSE
749,10.371525,4,1,0,1,FALSE
740,13.891825,4,1,0,1,FALSE
783,36.288963,4,1,0,1,FALSE
765,13.71995,4,1,0,1,FALSE
749,12.695198,4,1,0,1,FALSE
755,13.04283,4,1,0,1,FALSE
725,11.223395,4,1,0,1,FALSE
735,12.99977,4,1,0,1,FALSE
754,12.950771,4,1,0,1,FALSE
719,11.21813,4,1,0,1,FALSE
749,34.409168,1,1,0,0,FALSE
776,12.972162,1,1,0,0,FALSE
744,33.772442,1,1,0,0,FALSE
745,12.382645,1,1,0,0,FALSE
742,12.363781,1,1,0,0,FALSE
734,12.590643,1,1,0,0,FALSE
742,11.120672,1,1,0,0,FALSE
737,12.840658,1,1,0,0,FALSE
724,34.273739,1,1,0,0,FALSE
788,13.981021,1,1,0,0,TRUE
747,11.861244,1,1,0,0,FALSE
767,14.148291,1,1,0,0,TRUE
781,37.148666,1,1,0,0,FALSE
750,12.606335,1,1,0,0,FALSE
769,38.665451,1,1,0,0,FALSE
759,13.286671,1,1,0,0,FALSE
702,11.961945,1,1,0,0,FALSE
723,12.428209,1,1,0,0,FALSE
780,38.110214,1,1,0,0,FALSE
740,37.228462,1,1,0,0,FALSE
740,12.826998,2,1,1,0,FALSE
711,11.010023,2,1,1,0,FALSE
730,13.088181,2,1,1,0,FALSE
752,13.387575,2,1,1,0,FALSE
763,35.082001,2,1,1,0,FALSE
714,11.449198,2,1,1,0,FALSE
752,12.777403,2,1,1,0,FALSE
736,12.287027,2,1,1,0,FALSE
719,11.95961,2,1,1,0,FALSE
769,36.479733,2,1,1,0,FALSE
734,11.203382,2,1,1,0,FALSE
744,11.661171,2,1,1,0,FALSE
723,11.129942,2,1,1,0,FALSE
743,12.562449,2,1,1,0,FALSE
726,11.147769,2,1,1,0,FALSE
721,12.272118,2,1,1,0,FALSE
719,11.067173,2,1,1,0,FALSE
746,36.117935,2,1,1,0,FALSE
754,13.433742,2,1,1,0,FALSE
753,35.489868,2,1,1,0,FALSE
767,12.803579,1,1,1,1,FALSE
786,35.444069,1,1,1,1,FALSE
753,37.039604,1,1,1,1,FALSE
760,37.824463,1,1,1,1,FALSE
755,35.166626,1,1,1,1,TRUE
723,33.726242,1,1,1,1,TRUE
733,33.2187,1,1,1,1,FALSE
741,33.430294,1,1,1,1,FALSE
779,12.825665,1,1,1,1,FALSE
747,12.646988,1,1,1,1,TRUE
725,34.935673,1,1,1,1,FALSE
741,11.993847,1,1,1,1,FALSE
752,11.115782,1,1,1,1,TRUE
749,12.015182,1,1,1,1,FALSE
760,36.859596,1,1,1,1,FALSE
770,13.345232,1,1,1,1,FALSE
766,13.605318,1,1,1,1,TRUE
694,34.024429,1,1,1,1,FALSE
772,13.040409,1,1,1,1,FALSE
787,37.035675,1,1,1,1,FALSE
742,34.62886,4,1,1,0,FALSE
758,35.735363,4,1,1,0,FALSE
763,12.989187,4,1,1,0,FALSE
774,11.244738,4,1,1,0,FALSE
751,34.967854,4,1,1,0,FALSE
782,13.349129,4,1,1,0,FALSE
772,13.441114,4,1,1,0,FALSE
720,11.158381,4,1,1,0,FALSE
772,13.025126,4,1,1,0,FALSE
781,34.363842,4,1,1,0,FALSE
701,32.818123,4,1,1,0,FALSE
741,34.864586,4,1,1,0,FALSE
763,12.875282,4,1,1,0,FALSE
767,13.630089,4,1,1,0,FALSE
749,13.000078,4,1,1,0,FALSE
731,13.105082,4,1,1,0,FALSE
748,12.800701,4,1,1,0,FALSE
777,35.974213,4,1,1,0,FALSE
739,12.699769,4,1,1,0,FALSE
697,33.521225,4,1,1,0,FALSE
722,11.756556,4,1,1,1,FALSE
769,35.391109,4,1,1,1,FALSE
741,8.45439,4,1,1,1,TRUE
800,36.732544,4,1,1,1,TRUE
746,34.013084,4,1,1,1,TRUE
