@relation 'base7-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-17,19-20-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
2989,26.650785,1,1,0,FALSE
3058,29.311577,1,1,0,FALSE
3051,29.088135,1,1,0,FALSE
3073,28.720825,1,1,0,FALSE
3085,29.921841,1,1,0,FALSE
3044,28.067207,1,1,0,FALSE
3011,28.284515,1,1,0,FALSE
3063,66.139771,1,1,0,FALSE
3086,69.279762,1,1,0,FALSE
3081,29.867966,1,1,0,FALSE
3054,65.937012,1,1,0,FALSE
2991,28.020355,1,1,0,FALSE
3039,28.199841,1,1,0,FALSE
3123,66.655014,1,1,0,FALSE
3041,29.895912,1,1,0,FALSE
2959,27.892857,1,1,0,FALSE
3059,29.861057,1,1,0,FALSE
3022,28.978672,1,1,0,FALSE
3055,29.097435,1,1,0,FALSE
3059,66.709641,1,1,0,FALSE
3073,28.412411,4,0,0,FALSE
3063,28.938698,4,0,0,FALSE
3015,29.76696,4,0,0,FALSE
3036,28.653252,4,0,0,FALSE
3077,29.897038,4,0,0,FALSE
2947,26.946709,4,0,0,FALSE
3097,29.373619,4,0,0,FALSE
3022,28.914198,4,0,0,FALSE
3055,29.097576,4,0,0,FALSE
3083,29.098736,4,0,0,FALSE
3078,28.665123,4,0,0,FALSE
3014,65.84774,4,0,0,FALSE
3075,28.559738,4,0,0,FALSE
3071,28.852066,4,0,0,FALSE
3032,29.011551,4,0,0,FALSE
3051,28.145199,4,0,0,TRUE
3055,29.667858,4,0,0,FALSE
3101,29.306564,4,0,0,FALSE
3064,69.277557,4,0,0,FALSE
3044,29.379448,4,0,0,FALSE
2968,28.717026,4,1,0,FALSE
3052,28.713066,4,1,0,FALSE
3067,29.277336,4,1,0,FALSE
3071,29.039688,4,1,0,FALSE
3029,29.856518,4,1,0,FALSE
2988,27.615093,4,1,0,FALSE
3044,27.563721,4,1,0,FALSE
2966,27.811359,4,1,0,FALSE
3056,67.395813,4,1,0,FALSE
3009,28.079262,4,1,0,FALSE
2993,28.821068,4,1,0,FALSE
3040,28.53252,4,1,0,FALSE
3020,28.123692,4,1,0,FALSE
3061,28.451538,4,1,0,FALSE
3088,28.226379,4,1,0,FALSE
3005,66.225945,4,1,0,FALSE
3030,28.573864,4,1,0,FALSE
3008,29.088062,4,1,0,FALSE
3117,30.303291,4,1,0,FALSE
3005,64.657288,4,1,0,FALSE
3015,64.657715,4,0,1,FALSE
3083,28.942722,4,0,1,FALSE
2986,28.76199,4,0,1,FALSE
3020,29.169079,4,0,1,FALSE
3073,29.054344,4,0,1,FALSE
3037,28.899017,4,0,1,FALSE
2986,27.731682,4,0,1,FALSE
3031,28.352684,4,0,1,FALSE
3043,28.715389,4,0,1,FALSE
3038,65.88797,4,0,1,FALSE
3004,29.075279,4,0,1,FALSE
3013,26.87878,4,0,1,FALSE
3084,29.280067,4,0,1,FALSE
3061,29.236469,4,0,1,FALSE
3011,28.555031,4,0,1,FALSE
3107,30.253857,4,0,1,FALSE
3043,28.437424,4,0,1,FALSE
3028,26.629242,4,0,1,FALSE
3000,65.440247,4,0,1,FALSE
3054,66.693504,4,0,1,FALSE
3017,28.319641,1,1,1,FALSE
3045,29.587986,1,1,1,FALSE
3032,65.781754,1,1,1,FALSE
3033,69.324318,1,1,1,FALSE
3077,29.067192,1,1,1,FALSE
3022,27.725128,1,1,1,FALSE
3105,67.616119,1,1,1,FALSE
3067,28.955391,1,1,1,FALSE
3031,64.927582,1,1,1,TRUE
3039,28.236942,1,1,1,FALSE
3083,30.103275,1,1,1,FALSE
3037,29.331772,1,1,1,FALSE
3051,29.298855,1,1,1,TRUE
3113,29.971157,1,1,1,FALSE
3025,29.523975,1,1,1,FALSE
2998,28.743462,1,1,1,FALSE
3024,28.632927,1,1,1,FALSE
3104,28.947834,1,1,1,TRUE
3055,29.317204,1,1,1,FALSE
2972,27.935081,1,1,1,FALSE
3074,29.953144,2,1,0,FALSE
3031,28.746216,2,1,0,FALSE
3010,28.912308,2,1,0,FALSE
3025,64.852844,2,1,0,FALSE
3065,68.316299,2,1,0,FALSE
2999,27.827877,2,1,0,FALSE
2982,67.333099,2,1,0,FALSE
3089,30.463409,2,1,0,FALSE
2946,28.136616,2,1,0,FALSE
3070,29.134811,2,1,0,FALSE
3032,29.614395,2,1,0,FALSE
2955,27.850273,2,1,0,FALSE
3006,28.630363,2,1,0,FALSE
3098,30.519608,2,1,0,FALSE
3013,66.545776,2,1,0,FALSE
3059,28.136257,2,1,0,FALSE
3026,30.10173,2,1,0,FALSE
3061,28.990089,2,1,0,FALSE
3019,28.397789,2,1,0,FALSE
3051,28.387604,2,1,0,FALSE
3095,29.163532,1,0,1,FALSE
3011,27.791279,1,0,1,FALSE
3040,28.470043,1,0,1,FALSE
3006,28.657948,1,0,1,FALSE
3059,29.370438,1,0,1,FALSE
2991,65.572723,1,0,1,FALSE
3032,67.41021,1,0,1,FALSE
3022,65.935669,1,0,1,FALSE
3069,29.947445,1,0,1,FALSE
3024,29.465912,1,0,1,FALSE
3068,29.288727,1,0,1,FALSE
3078,29.771313,1,0,1,FALSE
2958,29.320282,1,0,1,FALSE
3030,28.551788,1,0,1,FALSE
3071,29.591316,1,0,1,FALSE
3044,28.82798,1,0,1,FALSE
3089,30.411064,1,0,1,FALSE
3083,29.594105,1,0,1,FALSE
3039,28.370819,1,0,1,FALSE
2998,27.969269,1,0,1,FALSE
3046,28.837082,2,1,1,FALSE
3009,27.195133,2,1,1,TRUE
